label,class_id,class_name
1,/m/011k07,Tortoise
2,/m/011q46kg,Container
3,/m/012074,Magpie
4,/m/0120dh,Sea turtle
5,/m/01226z,Football
6,/m/012n7d,Ambulance
7,/m/012w5l,Ladder
8,/m/012xff,Toothbrush
9,/m/012ysf,Syringe
10,/m/0130jx,Sink
11,/m/0138tl,Toy
12,/m/013y1f,Organ
13,/m/01432t,Cassette deck
14,/m/014j1m,Apple
15,/m/014sv8,Human eye
16,/m/014trl,Cosmetics
17,/m/014y4n,Paddle
18,/m/0152hh,Snowman
19,/m/01599,Beer
20,/m/01_5g,Chopsticks
21,/m/015h_t,Human beard
22,/m/015p6,Bird
23,/m/015qbp,Parking meter
24,/m/015qff,Traffic light
25,/m/015wgc,Croissant
26,/m/015x4r,Cucumber
27,/m/015x5n,Radish
28,/m/0162_1,Towel
29,/m/0167gd,Doll
30,/m/016m2d,Skull
31,/m/0174k2,Washing machine
32,/m/0174n1,Glove
33,/m/0175cv,Tick
34,/m/0176mf,Belt
35,/m/017ftj,Sunglasses
36,/m/018j2,Banjo
37,/m/018p4k,Cart
38,/m/018xm,Ball
39,/m/01940j,Backpack
40,/m/0199g,Bicycle
41,/m/019dx1,Home appliance
42,/m/019h78,Centipede
43,/m/019jd,Boat
44,/m/019w40,Surfboard
45,/m/01b638,Boot
46,/m/01b7fy,Headphones
47,/m/01b9xk,Hot dog
48,/m/01bfm9,Shorts
49,/m/01_bhs,Fast food
50,/m/01bjv,Bus
51,/m/01bl7v,Boy
52,/m/01bms0,Screwdriver
53,/m/01bqk0,Bicycle wheel
54,/m/01btn,Barge
55,/m/01c648,Laptop
56,/m/01cmb2,Miniskirt
57,/m/01d380,Drill
58,/m/01d40f,Dress
59,/m/01dws,Bear
60,/m/01dwsz,Waffle
61,/m/01dwwc,Pancake
62,/m/01dxs,Brown bear
63,/m/01dy8n,Woodpecker
64,/m/01f8m5,Blue jay
65,/m/01f91_,Pretzel
66,/m/01fb_0,Bagel
67,/m/01fdzj,Tower
68,/m/01fh4r,Teapot
69,/m/01g317,Person
70,/m/01g3x7,Bow and arrow
71,/m/01gkx_,Swimwear
72,/m/01gllr,Beehive
73,/m/01gmv2,Brassiere
74,/m/01h3n,Bee
75,/m/01h44,Bat
76,/m/01h8tj,Starfish
77,/m/01hrv5,Popcorn
78,/m/01j3zr,Burrito
79,/m/01j4z9,Chainsaw
80,/m/01j51,Balloon
81,/m/01j5ks,Wrench
82,/m/01j61q,Tent
83,/m/01jfm_,Vehicle registration plate
84,/m/01jfsr,Lantern
85,/m/01k6s3,Toaster
86,/m/01kb5b,Flashlight
87,/m/01knjb,Billboard
88,/m/01krhy,Tiara
89,/m/01lcw4,Limousine
90,/m/01llwg,Necklace
91,/m/01lrl,Carnivore
92,/m/01lsmm,Scissors
93,/m/01lynh,Stairs
94,/m/01m2v,Computer keyboard
95,/m/01m4t,Printer
96,/m/01mqdt,Traffic sign
97,/m/01mzpv,Chair
98,/m/01n4qj,Shirt
99,/m/01n5jq,Poster
100,/m/01nkt,Cheese
101,/m/01nq26,Sock
102,/m/01pns0,Fire hydrant
103,/m/01prls,Land vehicle
